task_id,title,sprint,priority 1,due_date,epic,status,description,story_points,category,assigned_to,acceptance_criteria,technical_notes,user_feedback_source
BUG-001,Fix /quotes 500 Internal Server Error,Sprint-Week-33,critical,"August 13, 2025",Critical-Bugfix,Done,PRODUCTION CRITICAL: RESOLVED - Fixed decimal dimension conversion error in /quotes endpoint. Users can now access quotes page without 500 errors. Applied int(float()) conversion for height_cm and width_cm fields.,3,hotfix,Claude,/quotes endpoint loads successfully without 500 errors,COMPLETE: Fixed decimal conversion issue in main.py:1050-1051. Production verified working. User confirmed resolution.,Production-Critical
WF-001,CONSOLIDATED INTO QTO-001,Sprint-Consolidated,,,Workflow-Management,Consolidated,MERGED: This functionality is covered by QTO-001 (Quote-to-WorkOrder conversion),0,feature,Claude,CONSOLIDATED INTO QTO-001,CONSOLIDATED INTO QTO-001,Original-Requirements
QM-002,CONSOLIDATED INTO ST-001,Sprint-Consolidated,,,Quote-Management,Consolidated,MERGED: Basic status modification is covered by ST-001 (comprehensive status tracking),0,feature,Claude,CONSOLIDATED INTO ST-001,CONSOLIDATED INTO ST-001,Original-Requirements
QM-003,CONSOLIDATED INTO QE-001,Sprint-Consolidated,,,Quote-Management,Consolidated,MERGED: Quote editing functionality is covered by QE-001 (comprehensive quote editing),0,feature,Claude,CONSOLIDATED INTO QE-001,CONSOLIDATED INTO QE-001,Original-Requirements
PDF-001,Capacidad de generar pdf,Sprint-Completed,,"August 8, 2025",PDF-Export,Done,"Involves integrating a PDF generation library on the backend to convert quote details into a printable document, a common business requirement.",3,feature,Claude,PDF generation works with company logo and formatting,Already implemented and working per Fernando feedback,Fernando-Beta-Testing
FIN-001,"En el desglose de totales agregar Utilidad , IVA",Sprint-Completed,,"August 8, 2025",Finance-Calculations,Done,Already Implemented (Quick Win),1,enhancement,Claude,Profit and tax calculations visible in quote breakdown,Already completed,Original-Requirements
CM-001,Agregar función para dar de Alta Clientes,Sprint-To-Be-Assign,,,Client-Management,Not started,"Building a client management system (new models, CRUD APIs, UI for creation, editing, and listing clients) is a significant sub-project. Improves usability but not strictly blocking.",13,feature,Claude,Complete client CRUD with contact information and history,Create Client model and full CRUD interface,Original-Requirements
UI-001,Modificar el nombre del dropdown Product BOM,Sprint-Completed,,"August 8, 2025",UI-Improvements,Done,Already Implemented (Quick Win),1,enhancement,Claude,Dropdown has user-friendly label,Label updated to be more intuitive,Original-Requirements
QUX-001,La descripción del ITEM debe ser un concatenado,Sprint-Week-33,medium,"August 14, 2025",Quote-UX,Not started,"Involves JavaScript logic in new_quote.html to dynamically generate the description based on multiple inputs, improving data consistency and reducing manual entry errors.",5,enhancement,Claude,Item descriptions auto-generated from selected components,Implement JavaScript concatenation logic,Original-Requirements
RTC-001,Cuando se agreguen las dimensiones calcular en vivo,Sprint-Completed,,,Real-Time-Calc,Not started,"Requires substantial frontend JavaScript logic for real-time calculations and updates, potentially with dedicated backend endpoints for quick calculations. Significantly enhances user experience.",8,feature,Claude,Real-time calculation updates as user enters dimensions,Implement live calculation with debouncing,Original-Requirements
QF-001,"Modificar variables de Mano de Obra, Utilidad, etc",Sprint-Completed,,,Quote-Flexibility,Not started,"Involves adding UI input fields, updating the QuoteRequest model, and modifying the calculate_complete_quote function. Crucial for flexible pricing and accommodating business changes.",5,feature,Claude,Users can adjust labor/profit/overhead/tax per quote,Add editable parameters to quote form,Original-Requirements
